"id","user_id","user_path","setting_path","created_at","updated_at","tabs","view","theme","public_view"
"1"," 1"," '1/'"," ''"," '2019-09-11 10:20:57'"," '2019-09-11 10:20:57'"," NULL"," NULL"," 'default'"," NULL"
"2"," 2"," '2/'"," ''"," '2019-09-15 05:19:46'"," '2019-09-15 05:19:46'"," 'a:3:{i:0;s:10:""Technology"";i:1;s:6:""Health"";i:2;s:8:""Politics"";}'"," 'Timeline'"," 'default'"," 'Home'"
